,Name,ROE,Sector,EBITDA,Value
0,AAPL,1.47943,Technology,125287997440.0,2504245641216.0
1,MSFT,0.39312,Technology,97945001984.0,1859911286784.0
2,GOOG,0.26893,Communication Services,93733003264.0,1225885483008.0
3,AMZN,0.08776,Consumer Cyclical,51548999680.0,1178375946240.0
4,TSLA,0.32490003,Consumer Cyclical,17439000576.0,558756855808.0
5,NVDA,0.26389,Technology,8718000128.0,513958805504.0
6,XOM,0.30451,Energy,91127996416.0,487345684480.0
7,UNH,0.25351,Healthcare,31835000832.0,505268011008.0
8,JNJ,0.24143,Healthcare,32603664384.0,429128646656.0
9,V,0.41514,Financial Services,21156999168.0,481349763072.0
10,JPM,0.12849,Financial Services,,-288964608000.0
11,META,0.22398001,Communication Services,43867000832.0,390710132736.0
12,WMT,0.106529996,Consumer Defensive,34894000128.0,454701056000.0
13,CVX,0.23773001,Energy,55955001344.0,340505296896.0
14,MA,1.44028,Financial Services,13436999680.0,364151963648.0
15,PG,0.32018003,Consumer Defensive,21005000704.0,365566525440.0
16,LLY,0.66592,Healthcare,10380399616.0,338816040960.0
17,HD,14.65495,Consumer Cyclical,27324000256.0,381635756032.0
18,BAC,0.101339996,Financial Services,,14250620928.0
19,MRK,0.38145,Healthcare,24074000384.0,290472656896.0
20,KO,0.41034,Consumer Defensive,13530999808.0,294824411136.0
21,ABBV,0.90650004,Healthcare,29801000960.0,314934362112.0
22,AVGO,0.48199,Technology,19270000640.0,279442882560.0
23,PFE,0.36866,Healthcare,43567333376.0,247943446528.0
24,ORCL,,Technology,18375000064.0,325677187072.0
25,PEP,0.5571,Consumer Defensive,15155999744.0,269020790784.0
26,TMO,0.16352,Healthcare,11888000000.0,255737757696.0
27,COST,0.29321,Consumer Defensive,9648000000.0,225809711104.0
28,MCD,,Consumer Cyclical,12215199744.0,241428824064.0
29,DIS,0.03374,Communication Services,11994999808.0,253496721408.0
30,NKE,0.37316,Consumer Cyclical,7336999936.0,202701914112.0
